date,fingerprint,type,bytes,num_instances,coverage
2023-05-02,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2420976727.35,12.00,12.00
2023-05-02,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,62733054633.10,12.00,12.00
2023-05-02,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6398076667946.22,12.00,12.00
2023-05-02,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6379294636929.83,12.00,12.00
2023-05-03,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,15823885594.86,12.00,12.00
2023-05-03,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,306204563397.14,12.00,12.00
2023-05-03,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27609752050812.00,12.00,12.00
2023-05-03,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27714412804096.00,12.00,12.00
2023-05-03,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2577866763.34,12.00,12.00
2023-05-03,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,69892987326.80,12.00,12.00
2023-05-03,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6337247473279.47,12.00,12.00
2023-05-03,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6325182693120.49,12.00,12.00
2023-05-04,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,15161516399.81,12.00,12.00
2023-05-04,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,307693432595.13,12.00,12.00
2023-05-04,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27894300959020.38,12.00,12.00
2023-05-04,5481936581E23D2D178105D44DB6915AB06BFB7F,write,28000568164132.95,12.00,12.00
2023-05-04,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2574479596.11,12.00,12.00
2023-05-04,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,73306358378.80,12.00,12.00
2023-05-04,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6376060812785.38,12.00,12.00
2023-05-04,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6367681293134.61,12.00,12.00
2023-05-05,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,14887790515.41,12.00,12.00
2023-05-05,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,298090315778.09,12.00,12.00
2023-05-05,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27718436229888.33,12.00,12.00
2023-05-05,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27820920355551.76,12.00,12.00
2023-05-05,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2655523376.55,12.00,12.00
2023-05-05,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,71015879098.68,12.00,12.00
2023-05-05,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6654529250873.22,12.00,12.00
2023-05-05,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6647317024029.14,12.00,12.00
2023-05-06,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,14977974609.92,12.00,12.00
2023-05-06,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,294529936067.01,12.00,12.00
2023-05-06,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27547456986992.07,12.00,12.00
2023-05-06,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27645488808339.48,12.00,12.00
2023-05-06,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2850722228.42,12.00,12.00
2023-05-06,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,75028428386.95,12.00,12.00
2023-05-06,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,6753551893085.37,12.00,12.00
2023-05-06,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,6750677982269.03,12.00,12.00
2023-05-07,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,14669026912.17,12.00,12.00
2023-05-07,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,290575502909.65,12.00,12.00
2023-05-07,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27443031935236.50,12.00,12.00
2023-05-07,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27534702992305.21,12.00,12.00
2023-05-07,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2805708414.47,12.00,12.00
2023-05-07,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,71681746695.91,12.00,12.00
